tableId,degree,epsilonLabel,beta,kappaPi,kappa,coarseType,rho,nu,hInv,h,nSubSide,nSubdomains,d,deltaSteps,delta,ndof,localDofEstimate,rawCoarseEstimate,estimateGB,paperIterations,paperRatio,gmresIterations,coarseDimension,rawCoarseDimension,coarseRatio,iterationDifference,ratioDifference,flag,finalRelres,resvecLength,localDofMin,localDofMax,localDofMean,coarseSetupS,preconditionerApplyS,totalS,status,notes
1,1,0,0.8,30,94.2477796076938,spectral,0.0106103295394597,NaN,1064,0.00093984962406015,38,1444,0.0263157894736842,7,0.00657894736842105,1134225,1849,242592,918.958987297899,9,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 918.96 GB exceeds hard limit 300.00 GB.
1,1,0,0.6,30,94.2477796076938,spectral,0.0106103295394597,NaN,960,0.00104166666666667,15,225,0.0666666666666667,16,0.0166666666666667,923521,9409,86400,154.691725027241,13,0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Below memory gate but above runtime cap N=923521.
1,1,0,1,40,125.663706143592,spectral,0.00795774715459477,NaN,1512,0.000661375661375661,126,15876,0.00793650793650794,3,0.00198412698412698,2289169,361,1143072,19541.7838871514,6,233.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 19541.78 GB exceeds hard limit 300.00 GB.
1,1,0,0.8,40,125.663706143592,spectral,0.00795774715459477,NaN,1536,0.000651041666666667,48,2304,0.0208333333333333,8,0.00520833333333333,2362369,2401,442368,3006.45502532482,6,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 3006.46 GB exceeds hard limit 300.00 GB.
1,1,0,0.6,40,125.663706143592,spectral,0.00795774715459477,NaN,1440,0.000694444444444444,18,324,0.0555555555555556,20,0.0138888888888889,2076481,14641,155520,466.475561320004,10,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 466.48 GB exceeds hard limit 300.00 GB.
1,1,0,1,50,157.07963267949,spectral,0.00636619772367581,NaN,2512,0.000398089171974522,157,24649,0.00636942675159236,4,0.00159235668789809,6315169,676,2464900,90754.7637379343,6,493.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 90754.76 GB exceeds hard limit 300.00 GB.
1,1,0,0.8,50,157.07963267949,spectral,0.00636619772367581,NaN,2052,0.000487329434697856,57,3249,0.0175438596491228,9,0.0043859649122807,4214809,3025,701784,7505.27647208626,6,8.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 7505.28 GB exceeds hard limit 300.00 GB.
1,1,0,0.6,50,157.07963267949,spectral,0.00636619772367581,NaN,2016,0.000496031746031746,21,441,0.0476190476190476,24,0.0119047619047619,4068289,21025,254016,1185.10236144703,7,0.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 1185.10 GB exceeds hard limit 300.00 GB.
1,1,0,1,60,188.495559215388,spectral,0.00530516476972985,NaN,3008,0.000332446808510638,188,35344,0.00531914893617021,4,0.00132978723404255,9054081,625,3393024,171849.565054053,4,875.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 171849.57 GB exceeds hard limit 300.00 GB.
1,1,0,0.8,60,188.495559215388,spectral,0.00530516476972985,NaN,2640,0.000378787878787879,66,4356,0.0151515151515152,10,0.00378787878787879,6974881,3721,1045440,16569.6886492469,5,11.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 16569.69 GB exceeds hard limit 300.00 GB.
1,1,0,0.6,60,188.495559215388,spectral,0.00530516476972985,NaN,2668,0.000374812593703148,23,529,0.0434782608695652,29,0.0108695652173913,7123561,30625,368184,2445.15128105119,6,0.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 2445.15 GB exceeds hard limit 300.00 GB.
1,2,k,0.7,40,125.663706143592,spectral,0.00102006053087897,NaN,464,0.0021551724137931,29,841,0.0344827586206897,4,0.00862068965517241,863041,2401,161472,421.492064172436,6,3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 421.49 GB exceeds hard limit 300.00 GB.
1,2,k,0.6,40,125.663706143592,spectral,0.000629078666287435,NaN,432,0.00231481481481481,18,324,0.0555555555555556,6,0.0138888888888889,748225,5329,93312,161.747713132577,4,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Below memory gate but above runtime cap N=748225.
1,2,k,0.5,40,125.663706143592,spectral,0.000387957338214993,NaN,440,0.00227272727272727,11,121,0.0909090909090909,10,0.0227272727272727,776161,14641,58080,89.836511254894,3,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Below memory gate but above runtime cap N=776161.
1,2,k,0.7,60,188.495559215388,spectral,0.000572395089847983,NaN,780,0.00128205128205128,39,1521,0.0256410256410256,5,0.00641025641025641,2436721,3721,365040,2084.50383260358,3,11.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 2084.50 GB exceeds hard limit 300.00 GB.
1,2,k,0.6,60,188.495559215388,spectral,0.000338973530989552,NaN,736,0.00135869565217391,23,529,0.0434782608695652,8,0.0108695652173913,2169729,9409,203136,716.883886705758,2,2.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 716.88 GB exceeds hard limit 300.00 GB.
1,2,k,0.5,60,188.495559215388,spectral,0.000200740811284808,NaN,728,0.00137362637362637,14,196,0.0714285714285714,13,0.0178571428571429,2122849,24649,122304,343.432501140867,3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 343.43 GB exceeds hard limit 300.00 GB.
1,2,k,0.7,80,251.327412287183,spectral,0.000379890295967844,NaN,1152,0.000868055555555556,48,2304,0.0208333333333333,6,0.00520833333333333,5313025,5329,663552,6788.44931415751,3,18.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 6788.45 GB exceeds hard limit 300.00 GB.
1,2,k,0.6,80,251.327412287183,spectral,0.000218591974996756,NaN,1008,0.000992063492063492,28,784,0.0357142857142857,9,0.00892857142857143,4068289,11881,338688,1908.83705146937,2,3.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 1908.84 GB exceeds hard limit 300.00 GB.
1,2,k,0.5,80,251.327412287183,spectral,0.000125779605428581,NaN,1024,0.0009765625,16,256,0.0625,16,0.015625,4198401,37249,196608,837.887189985379,2,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 837.89 GB exceeds hard limit 300.00 GB.
1,2,k,0.7,100,314.159265358979,spectral,0.000276414888328292,NaN,1344,0.000744047619047619,56,3136,0.0178571428571429,6,0.00446428571428571,7230721,5329,903168,12464.6327582543,2,25.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 12464.63 GB exceeds hard limit 300.00 GB.
