panel,k,alpha,mFixed,mCoarse,nFine,h,nDofs,epsProb,epsPrec,localBc,x0Type,seed,gmresIts,flag,relres,precRelres,elapsedSeconds,scaledNfine
table1b,60,0.5,NaN,8,464,0.0021551724137931,216225,60,60,impedance,random,20240528,44,0,8.24465853064409e-07,4.34815927015119e-07,13.9351124,0
table1b,80,0.2,NaN,2,716,0.00139664804469274,514089,80,80,impedance,random,20240528,16,0,5.13973310419176e-07,4.00008740287409e-07,17.4027945,0
table1b,80,0.3,NaN,4,716,0.00139664804469274,514089,80,80,impedance,random,20240528,24,0,8.45167678373933e-07,5.67050171870137e-07,22.860755,0
table1b,80,0.4,NaN,6,714,0.00140056022408964,511225,80,80,impedance,random,20240528,33,0,8.98001174131636e-07,5.31473562338496e-07,27.2410572,0
table1b,80,0.5,NaN,9,720,0.00138888888888889,519841,80,80,impedance,random,20240528,48,0,9.12433501783889e-07,4.63840084275252e-07,36.8314512,0
table1b,100,0.2,NaN,3,999,0.001001001001001,1000000,100,100,impedance,random,20240528,20,0,6.11817474920939e-07,4.40166654574848e-07,41.3213289,0
table1b,100,0.3,NaN,4,1000,0.001,1002001,100,100,impedance,random,20240528,24,0,8.38706099145644e-07,5.6255343585494e-07,45.0022277,0
table1b,100,0.4,NaN,6,1002,0.000998003992015968,1006009,100,100,impedance,random,20240528,33,0,9.58984068396642e-07,5.68949132489231e-07,59.3737573,0
table1b,100,0.5,NaN,10,1000,0.001,1002001,100,100,impedance,random,20240528,53,0,8.10246944558768e-07,3.86658268950994e-07,80.2183065,0
table1b,120,0.2,NaN,3,1314,0.00076103500761035,1729225,120,120,impedance,random,20240528,19,0,8.3033275280183e-07,5.97048423971975e-07,70.6624396,0
table1b,120,0.3,NaN,4,1316,0.000759878419452888,1734489,120,120,impedance,random,20240528,24,0,8.20661101272394e-07,5.50142697022597e-07,83.977957,0
table1b,120,0.4,NaN,7,1316,0.000759878419452888,1734489,120,120,impedance,random,20240528,38,0,7.71488877974419e-07,4.3544878229929e-07,118.1237508,0
table1b,120,0.5,NaN,11,1320,0.000757575757575758,1745041,120,120,impedance,random,20240528,57,0,9.02526232003149e-07,4.17426271178993e-07,155.1799969,0
table1b,140,0.2,NaN,3,1656,0.000603864734299517,2745649,140,140,impedance,random,20240528,20,0,7.25498725530404e-07,5.22334824621274e-07,124.12949,0
table1b,140,0.3,NaN,4,1656,0.000603864734299517,2745649,140,140,impedance,random,20240528,24,0,6.47162633978194e-07,4.35044084553999e-07,139.8536323,0
table1b,140,0.4,NaN,7,1659,0.000602772754671489,2755600,140,140,impedance,random,20240528,38,0,8.11868684999159e-07,4.61093003430392e-07,201.3872561,0
table1b,140,0.5,NaN,12,1656,0.000603864734299517,2745649,140,140,impedance,random,20240528,62,0,9.85338609796106e-07,4.4648113975058e-07,292.0450479,0
table2_epsprec_k,40,0.2,NaN,2,254,0.00393700787401575,65025,0,40,impedance,random,20240528,18,0,9.5448888109358e-07,7.08965437871537e-07,2.063205,0
table2_epsprec_k,40,0.3,NaN,3,252,0.00396825396825397,64009,0,40,impedance,random,20240528,23,0,7.97623415332001e-07,5.46554716578312e-07,2.3100585,0
table2_epsprec_k,40,0.4,NaN,4,252,0.00396825396825397,64009,0,40,impedance,random,20240528,29,0,5.74883775472756e-07,3.57738485728323e-07,2.8171997,0
table2_epsprec_k,40,0.5,NaN,6,252,0.00396825396825397,64009,0,40,impedance,random,20240528,41,0,7.01832458309687e-07,3.87036271496981e-07,3.8538648,0
table2_epsprec_k,60,0.2,NaN,2,466,0.00214592274678112,218089,0,60,impedance,random,20240528,18,0,9.36028410383347e-07,7.02937099810641e-07,7.6222398,0
table2_epsprec_k,60,0.3,NaN,3,465,0.0021505376344086,217156,0,60,impedance,random,20240528,23,0,8.46925108036242e-07,5.88158401736267e-07,8.9009333,0
