k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,innerCoarseCalls,innerCoarsePrimalCalls,innerCoarseAdjointCalls,innerCoarseIterMean,innerCoarseIterMax,innerCoarseFlagMax,innerCoarseRelresMax,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisSafeTrial,basisSafeTest,pouExact,tildeLayers,omegaDiameterMax,localCoarseDofMax,localFineDofMax,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
64,k,512,32,4,4,263169,1089,1.076520502567291,12,37,34,0,0,0,5.50226768777515e-07,9.987624018687335e-07,6.342862183392304e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,0.7954951288348659,657,157377,NaN,NaN,13,38,35,ran,
64,zero,512,32,4,5,263169,1089,1.410934031009674,12,42,39,0,0,0,4.815302579301544e-07,9.004166329481296e-07,7.400097509298464e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,0.8838834764831844,769,185089,NaN,NaN,13,43,40,ran,
64,k,512,32,4,5,263169,1089,1.410934031009674,12,37,34,0,0,0,5.637482729856354e-07,9.23982478064583e-07,6.634132912223368e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,0.8838834764831844,769,185089,NaN,NaN,13,38,35,ran,
64,zero,512,32,8,1,263169,1089,0.4720836281776428,25,80,71,0,1,0,6.959919390571598e-07,1.208358910636587e-05,8.641824468859414e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0.3535533905932738,149,33089,NaN,NaN,26,81,72,ran,
64,k,512,32,8,1,263169,1089,0.4720836281776428,23,80,62,0,1,0,6.010425102081962e-07,2.026561512464027e-06,8.417101781380089e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0.3535533905932738,149,33089,NaN,NaN,24,81,63,ran,
64,zero,512,32,8,2,263169,1089,0.6070953011512756,13,80,76,0,1,0,5.275160191521319e-07,1.203621029813516e-06,9.165700819152088e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,0.4419417382415922,247,56737,NaN,NaN,14,81,77,ran,
64,k,512,32,8,2,263169,1089,0.6070953011512756,12,70,65,0,0,0,9.495006995531794e-07,8.823103923916909e-07,9.99524447420235e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,0.4419417382415922,247,56737,NaN,NaN,13,71,66,ran,
64,zero,512,32,8,3,263169,1089,0.8085742592811584,12,69,64,0,0,0,5.930064907369926e-07,8.508342464109839e-07,8.472264409821924e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,0.5303300858899106,369,86529,NaN,NaN,13,70,65,ran,
64,k,512,32,8,3,263169,1089,0.8085742592811584,12,59,55,0,0,0,5.804891805502671e-07,9.331896104168624e-07,9.49864195457326e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,0.5303300858899106,369,86529,NaN,NaN,13,60,56,ran,
64,zero,512,32,8,4,263169,1089,1.076520502567291,11,68,63,0,0,0,8.393815198415154e-07,8.239174075302417e-07,9.449959795671441e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,0.6187184335382291,515,122465,NaN,NaN,12,69,64,ran,
64,k,512,32,8,4,263169,1089,1.076520502567291,12,58,55,0,0,0,4.079966561747489e-07,9.392733020662022e-07,8.638806152243308e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,0.6187184335382291,515,122465,NaN,NaN,13,59,56,ran,
64,zero,512,32,8,5,263169,1089,1.410934031009674,11,68,63,0,0,0,7.890511336728832e-07,8.443345163165897e-07,9.562484981748236e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,0.7071067811865476,685,164545,NaN,NaN,12,69,64,ran,
64,k,512,32,8,5,263169,1089,1.410934031009674,11,58,55,0,0,0,9.519823088036333e-07,9.541596630462933e-07,8.778285050385992e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,0.7071067811865476,685,164545,NaN,NaN,12,59,56,ran,
