k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
64,zero,512,32,1,1,263169,1089,0.4720836281776428,26,26,1,0,0,0,5.384740968899085e-07,5.384740965621332e-07,7.831564562745997e-16,NaN,NaN,,,0,0,1.944290645930026e-17,1.939905776641061e-17,27,27,2,ran,
64,k,512,32,1,1,263169,1089,0.4720836281776428,24,24,1,0,0,0,5.304780459837006e-07,5.304780459206114e-07,7.290217797206546e-16,NaN,NaN,,,0,0,1.978163398660273e-17,2.002034964548727e-17,25,25,2,ran,
64,zero,512,32,1,2,263169,1089,0.6070953011512756,13,13,1,0,0,0,6.014752032453902e-07,6.014752032922601e-07,8.918596149329034e-16,NaN,NaN,,,0,0,1.801961644880521e-17,1.804245126439441e-17,14,14,2,ran,
64,k,512,32,1,2,263169,1089,0.6070953011512756,13,13,1,0,0,0,4.789474952506569e-07,4.789474954930028e-07,7.740902427166654e-16,NaN,NaN,,,0,0,2.212760452341303e-17,2.225211634613313e-17,14,14,2,ran,
64,zero,512,32,1,3,263169,1089,0.8085742592811584,12,12,1,0,0,0,9.223326257709963e-07,9.223326265059384e-07,9.123862726603343e-16,NaN,NaN,,,0,0,2.442021938025612e-17,2.425159660887204e-17,13,13,2,ran,
