k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,innerCoarseCalls,innerCoarsePrimalCalls,innerCoarseAdjointCalls,innerCoarseIterMean,innerCoarseIterMax,innerCoarseFlagMax,innerCoarseRelresMax,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisSafeTrial,basisSafeTest,pouExact,tildeLayers,omegaDiameterMax,localCoarseDofMax,localFineDofMax,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
16,k,64,8,4,1,4225,81,0.007647335529327393,15,27,18,0,0,0,8.84376981099624e-07,7.306333259122381e-07,6.121764633129083e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.060660171779821,75,3953,NaN,NaN,16,28,19,ran,
16,zero,64,8,4,2,4225,81,0.0101965069770813,12,25,21,0,0,0,4.041872087365636e-07,8.66448268218014e-07,4.084833532976237e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.237436867076458,81,4225,NaN,NaN,13,26,22,ran,
16,k,64,8,4,2,4225,81,0.0101965069770813,12,23,19,0,0,0,4.283305012700674e-07,9.861669390061734e-07,5.719657876843489e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.237436867076458,81,4225,NaN,NaN,13,24,20,ran,
16,zero,64,8,4,3,4225,81,0.01398164033889771,11,20,15,0,0,0,6.708601533013298e-07,6.890599982455868e-07,7.619053984467839e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,12,21,16,ran,
16,k,64,8,4,3,4225,81,0.01398164033889771,11,19,14,0,0,0,8.216595262278674e-07,6.506891535393562e-07,5.573475493978622e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,12,20,15,ran,
16,zero,64,8,4,4,4225,81,0.01633769273757935,11,20,15,0,0,0,6.057643388173231e-07,5.810071452248075e-07,7.990233936670782e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,12,21,16,ran,
16,k,64,8,4,4,4225,81,0.01633769273757935,11,19,14,0,0,0,7.431196558025567e-07,5.855418002923207e-07,5.685882575062871e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,12,20,15,ran,
16,zero,64,8,8,1,4225,81,0.007647335529327393,16,35,27,0,0,0,5.087512668959428e-07,9.664865609105885e-07,6.86653173772936e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0.8838834764831844,69,3625,NaN,NaN,17,36,28,ran,
16,k,64,8,8,1,4225,81,0.007647335529327393,15,33,25,0,0,0,8.38670573043049e-07,8.769367434704842e-07,9.92117075494289e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0.8838834764831844,69,3625,NaN,NaN,16,34,26,ran,
16,zero,64,8,8,2,4225,81,0.0101965069770813,12,32,27,0,0,0,6.81300376298843e-07,8.930429332613575e-07,7.796653753127921e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.237436867076458,79,4153,NaN,NaN,13,33,28,ran,
16,k,64,8,8,2,4225,81,0.0101965069770813,12,31,25,0,0,0,6.897504223583552e-07,4.439717038719954e-07,6.714355103030251e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.237436867076458,79,4153,NaN,NaN,13,32,26,ran,
16,zero,64,8,8,3,4225,81,0.01398164033889771,12,30,25,0,0,0,3.286256763520886e-07,6.896933150504503e-07,7.621602472076357e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,13,31,26,ran,
16,k,64,8,8,3,4225,81,0.01398164033889771,12,28,23,0,0,0,3.665917903391171e-07,7.19852538721334e-07,8.975507836821641e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,81,4225,NaN,NaN,13,29,24,ran,
16,zero,64,8,8,4,4225,81,0.01633769273757935,11,27,22,0,0,0,8.521433675790584e-07,4.838541964528891e-07,9.310881136590195e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,12,28,23,ran,
16,k,64,8,8,4,4225,81,0.01633769273757935,11,25,20,0,0,0,9.901134841385314e-07,8.933798839311154e-07,8.516488971630524e-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,81,4225,NaN,NaN,12,26,21,ran,
32,zero,192,16,1,1,37249,289,0.06631642580032349,18,18,1,0,0,0,8.760384023066884e-07,8.760384022612325e-07,2.013021577491955e-15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.414213562373095,289,37249,NaN,NaN,19,19,2,ran,
32,k,192,16,1,1,37249,289,0.06631642580032349,18,18,1,0,0,0,5.655602433523383e-07,5.65560243368904e-07,1.297329615485692e-15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,1.414213562373095,289,37249,NaN,NaN,19,19,2,ran,
32,zero,192,16,1,2,37249,289,0.08657389879226685,13,13,1,0,0,0,8.625012491361041e-07,8.625012486926171e-07,1.97881699140877e-15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.414213562373095,289,37249,NaN,NaN,14,14,2,ran,
32,k,192,16,1,2,37249,289,0.08657389879226685,13,13,1,0,0,0,8.021471160817263e-07,8.021471163587984e-07,2.04555790180716e-15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1.414213562373095,289,37249,NaN,NaN,14,14,2,ran,
32,zero,192,16,1,3,37249,289,0.1167533993721008,13,13,1,0,0,0,5.780230723664299e-07,5.78023073139571e-07,1.959092894315696e-15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,289,37249,NaN,NaN,14,14,2,ran,
32,k,192,16,1,3,37249,289,0.1167533993721008,13,13,1,0,0,0,5.524238755917945e-07,5.524238762206387e-07,1.739217711605182e-15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,1.414213562373095,289,37249,NaN,NaN,14,14,2,ran,
32,zero,192,16,1,4,37249,289,0.1568549275398254,12,12,1,0,0,0,8.829593655168527e-07,8.829593657823662e-07,2.600353986722736e-15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,1.414213562373095,289,37249,NaN,NaN,13,13,2,ran,
