k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,innerCoarseCalls,innerCoarsePrimalCalls,innerCoarseAdjointCalls,innerCoarseIterMean,innerCoarseIterMax,innerCoarseFlagMax,innerCoarseRelresMax,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisSafeTrial,basisSafeTest,pouExact,tildeLayers,omegaDiameterMax,localCoarseDofMax,localFineDofMax,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
64,zero,512,32,8,4,263169,1089,1.076520502567291,11,11,63,0,0,0,8.393815198415154e-07,8.660184706412503e-07,9.449959795671441e-07,26,13,13,62.23076923076923,67,0,9.847942963185741e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,0.6187184335382291,515,122465,NaN,NaN,12,12,64,ran,
64,k,512,32,8,4,263169,1089,1.076520502567291,12,12,55,0,0,0,4.079966561747489e-07,4.458828544180851e-07,8.638806152243308e-07,28,14,14,54.25,58,0,9.980796600882506e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,0.6187184335382291,515,122465,NaN,NaN,13,13,56,ran,
64,zero,512,32,8,5,263169,1089,1.410934031009674,11,11,63,0,0,0,7.890511336728832e-07,8.055776171791844e-07,9.562484981748236e-07,26,13,13,62.42307692307692,68,0,9.855786933158103e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,0.7071067811865476,685,164545,NaN,NaN,12,12,64,ran,
64,k,512,32,8,5,263169,1089,1.410934031009674,11,11,55,0,0,0,9.519823088036333e-07,9.656355078328617e-07,8.778285050385992e-07,26,13,13,54.34615384615385,59,0,9.768417595181162e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,0.7071067811865476,685,164545,NaN,NaN,12,12,56,ran,
