k,degree,coarseType,variant,beta,rho,nu,fineHInv,huliHInv,localHInv,overlap,ndof,huliSubdomains,localSubdomains,huliSupportSteps,localSupportSteps,huliLocalDofEstimate,localDofEstimate,rawCoarseEstimate,estimateGB,coarseDimension,rawCoarseDimension,cipNonzeros,localMode,localDofMin,localDofMax,localDofMean,identityError,gmresIterations,flag,finalRelres,resvecLength,huliSetupS,setupS,solveS,totalS,status,notes
16,1,economic,dirichlet,0.6,0.287174588749259,3,64,16,16,0.0625,4225,256,289,12,8,169,81,1536,0.149479227767143,NaN,NaN,NaN,matrix-lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_HULI_RUN=0.
16,1,economic,impedance,0.6,0.287174588749259,3,64,16,8,0.0625,4225,256,81,12,16,169,289,1536,0.149479227767143,NaN,NaN,NaN,matrix-lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_HULI_RUN=0.
32,1,economic,dirichlet,0.6,0.25,4,192,32,32,0.03125,37249,1024,1089,18,12,361,169,8192,1.42940000206876,NaN,NaN,NaN,matrix-lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_HULI_RUN=0.
32,1,economic,impedance,0.6,0.25,4,192,32,16,0.03125,37249,1024,289,18,24,361,625,8192,1.42833105236936,NaN,NaN,NaN,matrix-lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_HULI_RUN=0.
64,1,economic,dirichlet,0.6,0.217637640824031,5,512,64,64,0.015625,263169,4096,4225,24,16,625,289,40960,10.7652300048166,NaN,NaN,NaN,matrix-lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_HULI_RUN=0.
64,1,economic,impedance,0.6,0.217637640824031,5,512,64,32,0.015625,263169,4096,1089,24,32,625,1089,40960,10.7542451072031,NaN,NaN,NaN,matrix-lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_HULI_RUN=0.
128,1,economic,dirichlet,0.6,0.1894645708138,7,1536,128,128,0.0078125,2362369,16384,16641,36,24,1369,625,229376,105.183840757811,NaN,NaN,NaN,matrix-lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_HULI_RUN=0.
128,1,economic,impedance,0.6,0.1894645708138,7,1536,128,64,0.0078125,2362369,16384,4225,36,48,1369,2401,229376,105.103606945479,NaN,NaN,NaN,matrix-lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_HULI_RUN=0.
