k,variant,degree,fineHInv,localHInv,oversampling,ndof,nSubdomains,ncoarse,supportSteps,localDofEstimate,estimateGB,coarseDimension,cipNonzeros,localMode,localDofMin,localDofMax,localDofMean,gmresIterations,flag,finalRelres,resvecLength,identityError,setupS,solveS,totalS,status,notes
16,dirichlet,1,64,16,3,4225,289,289,8,81,0.01623752818174443,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,failed,MATLAB:UndefinedFunction: Undefined function 'nnz' for input arguments of type 'struct'.
16,impedance,1,64,8,3,4225,81,289,16,289,0.01623752818174443,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,failed,MATLAB:UndefinedFunction: Undefined function 'nnz' for input arguments of type 'struct'.
