k,degree,coarseType,variant,beta,rho,nu,fineHInv,huliHInv,localHInv,overlap,ndof,huliSubdomains,localSubdomains,huliSupportSteps,localSupportSteps,huliLocalDofEstimate,localDofEstimate,rawCoarseEstimate,estimateGB,coarseDimension,rawCoarseDimension,cipNonzeros,localMode,localDofMin,localDofMax,localDofMean,identityError,gmresIterations,flag,finalRelres,resvecLength,huliSetupS,setupS,solveS,totalS,status,notes
16,1,economic,dirichlet,0.6,0.287174588749259,3,64,16,16,0.0625,4225,256,289,12,8,169,81,1536,0.149479227767143,1536,1536,45751,matrix-lu,10,37,33.5536332179931,9.60191546477852e-15,6,0,5.97413500984476e-07,7,1.4437381,3.2137235,2.2954344,5.5091579,ran,
16,1,economic,impedance,0.6,0.287174588749259,3,64,16,8,0.0625,4225,256,81,12,16,169,289,1536,0.149479227767143,1536,1536,45751,matrix-lu,45,217,174.827160493827,2.60319155933034e-14,5,0,4.41851310787124e-07,6,0.7515342,1.8542712,1.9300741,3.7843453,ran,
