k,variant,degree,fineHInv,localHInv,oversampling,ndof,nSubdomains,ncoarse,supportSteps,localDofEstimate,estimateGB,coarseDimension,cipNonzeros,localMode,localDofMin,localDofMax,localDofMean,gmresIterations,flag,finalRelres,resvecLength,identityError,setupS,solveS,totalS,status,notes
16,dirichlet,1,64,16,3,4225,289,289,8,81,0.01623752818174443,289,45751,matrix-lu,10,37,33.55363321799308,10,0,2.899460728687564e-07,11,1.28815530644963e-15,4.474798300000001,0.7162643,5.1910626,ran,
16,impedance,1,64,8,3,4225,81,289,16,289,0.01623752818174443,289,45751,matrix-lu,45,217,174.8271604938272,8,0,4.916584006943671e-07,9,1.072080748277021e-15,3.1340652,0.5462842,3.6803494,ran,
32,dirichlet,1,192,32,4,37249,1089,1089,12,169,0.1309227467751392,1089,479599,matrix-lu,21,91,86.2157943067034,9,0,6.648930344185023e-07,10,1.911354471116163e-15,41.6231675,6.7100882,48.3332557,ran,
32,impedance,1,192,16,4,37249,289,1089,24,625,0.1298537970757373,1089,479599,matrix-lu,91,469,418.2179930795848,8,0,3.593928880246625e-07,9,1.844956909649263e-15,39.8325248,6.7412865,46.5738113,ran,
64,dirichlet,1,512,64,5,263169,4225,4225,16,289,0.8855445855915816,4225,3231998,matrix-lu,36,169,164.294674556213,9,0,4.175863154843427e-07,10,2.977896451727541e-15,584.2268607999999,106.8081938,691.0350546,ran,
64,impedance,1,512,32,5,263169,1089,4225,32,1089,0.8745596879780562,4225,3231998,matrix-lu,153,817,770.1753902662994,7,0,7.548357495340288e-07,8,2.665972662787757e-15,517.211545,57.9380097,575.1495547,ran,
128,dirichlet,1,1536,128,2,2362369,16641,16641,24,625,7.538957242821156,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,failed,: Internal error in PARFOR - no intervals to retrieve.
128,impedance,1,1536,64,2,2362369,4225,16641,48,2401,7.458723430489003,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,failed,MATLAB:Deserialize:OutOfMemory: Out of Memory during deserialization
