k,variant,degree,fineHInv,localHInv,oversampling,ndof,nSubdomains,ncoarse,supportSteps,localDofEstimate,estimateGB,coarseDimension,cipNonzeros,localMode,localDofMin,localDofMax,localDofMean,gmresIterations,flag,finalRelres,resvecLength,identityError,setupS,solveS,totalS,status,notes
16,dirichlet,1,64,16,3,4225,289,289,8,81,0.1046965125075862,289,45751,lu,10,37,33.55363321799308,10,0,2.899460725663438e-07,11,1.321210586312126e-15,9.7372098,0.3755988,10.1128086,ran,
16,impedance,1,64,16,3,4225,289,289,8,81,0.1046965125075862,289,45751,lu,15,61,55.03460207612456,9,0,6.684691734132653e-07,10,1.207363846942609e-15,9.6960236,0.3432827,10.0393063,ran,
32,dirichlet,1,192,32,4,37249,1089,1089,12,169,0.9427769020371383,1089,479599,lu,21,91,86.2157943067034,9,0,6.648930339641227e-07,10,1.917655262198197e-15,277.5348676,6.4566488,283.9915164,ran,
32,impedance,1,192,32,4,37249,1089,1089,12,169,0.9427769020371383,1089,479599,lu,28,127,120.1845730027548,9,0,4.587162956941759e-07,10,2.012146542663354e-15,193.0469288,6.4003457,199.4472745,ran,
64,dirichlet,1,512,64,5,263169,4225,4225,16,289,6.835154241612813,4225,3231998,lu,36,169,164.294674556213,9,0,4.175863153893174e-07,10,2.761801860506463e-15,5485.035937000001,97.47979890000001,5582.5157359,ran,force-run bypassed gates; estimate 6.84 GB.
64,impedance,1,512,64,5,263169,4225,4225,16,289,6.835154241612813,4225,3231998,lu,45,217,210.8897041420118,8,0,6.827839825735781e-07,9,2.813999070310332e-15,3287.6638318,93.4813058,3381.1451376,ran,force-run bypassed gates; estimate 6.84 GB.
128,dirichlet,1,1536,128,2,2362369,16641,16641,24,625,7.538957242821156,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,failed,MATLAB:nomem: Out of memory.
128,impedance,1,1536,64,3,2362369,4225,16641,48,2401,75.37248548543256,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,failed,"parallel:lang:parfor:SessionShutDown: The parallel pool that parfor was using has shut down. To start a new parallel pool, run your parfor code again or use parpool."
