k,variant,degree,fineHInv,localHInv,oversampling,ndof,nSubdomains,ncoarse,supportSteps,localDofEstimate,estimateGB,coarseDimension,cipNonzeros,localMode,localDofMin,localDofMax,localDofMean,gmresIterations,flag,finalRelres,resvecLength,identityError,setupS,solveS,totalS,status,notes
16,dirichlet,1,64,16,3,4225,289,289,8,81,0.01623752818174443,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_LOD_RUN=0.
16,impedance,1,64,8,3,4225,81,289,16,289,0.01623752818174443,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_LOD_RUN=0.
32,dirichlet,1,192,32,4,37249,1089,1089,12,169,0.1309227467751392,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_LOD_RUN=0.
32,impedance,1,192,16,4,37249,289,1089,24,625,0.1298537970757373,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_LOD_RUN=0.
64,dirichlet,1,512,64,5,263169,4225,4225,16,289,0.8855445855915816,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_LOD_RUN=0.
64,impedance,1,512,32,5,263169,1089,4225,32,1089,0.8745596879780562,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_LOD_RUN=0.
128,dirichlet,1,1536,128,2,2362369,16641,16641,24,625,7.538957242821156,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_LOD_RUN=0.
128,impedance,1,1536,64,2,2362369,4225,16641,48,2401,7.458723430489003,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,estimated_only,Execution disabled by CIP_LXZZ_LOD_RUN=0.
