k,degree,coarseType,variant,beta,rho,nu,fineHInv,huliHInv,localHInv,overlap,ndof,huliSubdomains,localSubdomains,huliSupportSteps,localSupportSteps,huliLocalDofEstimate,localDofEstimate,rawCoarseEstimate,estimateGB,coarseDimension,rawCoarseDimension,cipNonzeros,localMode,localDofMin,localDofMax,localDofMean,identityError,gmresIterations,flag,finalRelres,resvecLength,huliSetupS,setupS,solveS,totalS,status,notes
16,1,economic,dirichlet,0.6,0.287174588749259,3,64,16,16,0.0625,4225,256,289,12,8,169,81,1536,0.149479227767143,1536,1536,45751,matrix-lu,10,37,33.5536332179931,9.68229737034195e-15,6,0,5.97413501007064e-07,7,1.6299976,3.5770492,2.5415465,6.1185957,ran,
16,1,economic,impedance,0.6,0.287174588749259,3,64,16,8,0.0625,4225,256,81,12,16,169,289,1536,0.149479227767143,1536,1536,45751,matrix-lu,45,217,174.827160493827,2.67548527617658e-14,5,0,4.4185131079887e-07,6,0.804294,1.9255676,2.1569978,4.0825654,ran,
32,1,economic,dirichlet,0.6,0.25,4,192,32,32,0.03125,37249,1024,1089,18,12,361,169,8192,1.42940000206876,8192,8192,479599,matrix-lu,21,91,86.2157943067034,3.18454303950081e-14,5,0,6.37529508256709e-07,6,4.9673022,15.1514504,23.5954952,38.7469456,ran,
32,1,economic,impedance,0.6,0.25,4,192,32,16,0.03125,37249,1024,289,18,24,361,625,8192,1.42833105236936,8192,8192,479599,matrix-lu,91,469,418.217993079585,2.66482708854593e-14,4,0,6.91431171543306e-07,5,4.9891986,15.6677123,21.2226375,36.8903498,ran,
64,1,economic,dirichlet,0.6,0.217637640824031,5,512,64,64,0.015625,263169,4096,4225,24,16,625,289,40960,10.7652300048166,40960,40960,3231998,matrix-lu,36,169,164.294674556213,5.04894760675228e-14,5,0,3.74427115120476e-07,6,35.1261586,143.6905226,263.5993061,407.2898287,ran,
64,1,economic,impedance,0.6,0.217637640824031,5,512,64,32,0.015625,263169,4096,1089,24,32,625,1089,40960,10.7542451072031,40960,40960,3231998,matrix-lu,153,817,770.175390266299,4.3627478038268e-14,4,0,4.51913095546926e-07,5,85.5528435,285.1848646,277.4956872,562.6805518,ran,
128,1,economic,dirichlet,0.6,0.1894645708138,7,1536,128,128,0.0078125,2362369,16384,16641,36,24,1369,625,229376,105.183840757811,NaN,NaN,NaN,matrix-lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,failed,MATLAB:nomem: Out of memory.
128,1,economic,impedance,0.6,0.1894645708138,7,1536,128,64,0.0078125,2362369,16384,4225,36,48,1369,2401,229376,105.103606945479,NaN,NaN,NaN,matrix-lu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,failed,MATLAB:nomem: Out of memory.
